# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-09-26 18:34:15
# Generated from file: Y:\Ellin\2021\SCiLS files\2021-07-27_NE_MB_posMS_DHBsublim.slx
# Object Full Name: PCA_2021-07-27_MB_DHB
# Object ID: 9aabae3d-923a-4cc5-9977-7b5e94506778
# Object type: PCA
# Object creation time: 2021-07-28 21:45:40
#
Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4;Coefficient 5
149;-109592377.89472;-144026.79346562;-14225709.4358214;4101835.72953907;-164053.500709598
150;-95796016.2879697;167814.202415374;-14042901.3320025;2959989.0512353;1220650.02048056
151;-52673687.9179233;-4438813.39496853;-13304572.9258368;1573204.08214522;3621791.55798881
152;-80469998.844253;13620474.6077654;-5288878.33436269;-4019883.67546767;5645933.18721815
153;-83084914.5078601;14648768.6232616;-1367755.38293069;-5971582.71022899;7412973.71991418
154;-81086423.1486568;16541846.2758904;-3006036.97830203;-6609097.99053982;6321571.25422606
155;-57726343.8235152;-403641.033361232;-14348678.8896306;993265.410529956;3117430.66342853
156;-66418948.1957134;-4815499.35002661;-17116535.103143;1408838.4369218;1828683.70011806
157;-50609807.3525102;-6050700.76143705;-17090471.6936143;782187.982765285;1119357.81490937
158;-73983058.957554;2945178.97076699;-12755093.6076911;-3118500.87484075;-589845.914893479
159;-74062572.0938249;12246216.7896816;1230644.32868321;-10778710.538881;2296398.21603484
160;-55122733.1422901;9434169.8450803;1890898.93481193;-11021589.4348404;3779555.68644419
161;-66771047.4306039;9615104.65059732;-744375.225167194;-9930082.61626873;4250702.5442344
162;-76384194.5461144;2846254.72136432;-7637911.90380728;-6835120.8674416;1122444.49374041
163;-59033284.9861605;-6903038.43727283;-17135884.7331464;-316505.137918219;-1428190.55994954
164;-55020922.8252043;-6804423.42521265;-17417166.1173639;-680345.781281984;31801.1341529804
165;-83488035.8358268;10130829.2398045;-7922559.48861912;-7360026.7092651;939230.19740385
166;-62224670.3544479;13510922.2431852;-4264226.67136162;-9972745.89542644;-238835.852950504
167;-64840741.4711041;14088353.4856247;-3335212.32812014;-9497746.36799297;228550.497989251
168;-61826608.4570956;13687856.5357393;-3380068.46022082;-9054408.49438635;546942.071443463
169;-66948033.6332867;13462380.2129705;-4245544.39710561;-9871150.89273811;963480.897360726
170;-70529622.9236959;13367614.9285691;-2291554.77260379;-11022949.6589826;-226608.034742711
171;-81639600.404768;-2267383.73875756;-18065384.9848919;116268.567764174;-2103588.35149311
