# Exported with SCiLS Lab Version 9.00.12376
# Export time: 2022-09-26 18:34:22
# Generated from file: Y:\Ellin\2021\SCiLS files\2021-07-27_NE_MB_posMS_DHBsublim.slx
# Object Full Name: PCA_2021-07-27_MB_DHB
# Object ID: 9aabae3d-923a-4cc5-9977-7b5e94506778
# Object type: PCA
# Object creation time: 2021-07-28 21:45:40
#
m/z;Component 1;Component 2;Component 3;Component 4;Component 5
459.88984;-0.00260145086656541;-0.025330583783744;0.00839953990120905;0.00287415260528156;-0.0316724655373712
496.35143;-0.00102879210279039;-0.0218798840722665;0.0216960002146497;-0.0120591912405115;0.0326869411133393
561.53419;-0.00350293072130892;-0.0170175343679912;0.00666547169695614;0.0230337707202996;-0.0276984906072106
732.5595;-0.000673844458387493;-0.0910356375326702;0.088996799751594;-0.0459100143571314;0.0642669474837004
756.55658;0.136470191463359;-0.0247242583344098;0.129859179538589;0.0331947271441558;0.684199119115776
753.59442;0.026762836537904;0.134228230814842;0.141779988472772;-0.00442482556048618;0.176748990796855
758.57946;-0.0138167871438631;-0.123570478082816;0.0541621093821903;-0.142920178471594;0.079432642139067
760.57046;-0.0187106430599956;0.137331833766677;-0.0949761822803918;-0.1041396017614;0.119606894321437
769.56672;0.154892344506006;0.596971375730258;0.695502260097331;-0.182175656413093;-0.189736398425348
772.53062;0.973839482127395;-0.11331590335528;-0.132393270211112;-0.0597945855887135;-0.0592003420773214
782.55675;0.0423012956206235;0.279768017667248;-0.133575107952258;0.416400178841095;0.324679221539989
834.58286;-0.00335165184341545;0.018675754465574;-0.00669718181736317;-0.0483569203920974;-0.012344105388647
844.50694;0.0224117291892594;0.063065374731697;-0.316025715645014;0.0567727826942154;-0.422732612342149
848.54774;0.0539877047890687;0.0959406504465486;0.0427367139409581;0.52874071388274;-0.149916156310596
872.54188;-0.0165753074525299;0.188073809145708;-0.129698653985932;-0.321984537433495;-0.197982049965046
732.60012;-0.00182279039852076;0.0303186692851898;-0.00040790984542093;-0.0281290708286853;0.0234928909482053
734.56022;0.00114155847593612;0.179829967204561;-0.121054094362609;-0.138594136077348;0.217718971850094
554.295296007228;0.00759434477565139;0.0177493161373283;-0.0141104715279818;-0.0434915333071651;0.0561488509302951
798.509650796732;0.00592571907840777;0.637976882841608;-0.490962930820332;0.0358024935935855;0.0648091460262058
806.50128730756;0.0460288844396739;-0.0225637079341231;0.214302084204768;0.518058759758234;-0.178826148014898
810.577694223844;0.00589200735022002;0.0077325557913175;0.0556110526528067;0.272585292447301;-0.0177098341549395
